City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,potosi,-19.5836,-65.7531,289.63,42,40,4.12,BO,1702329719
420,brzozow,49.695,22.0193,276.95,97,100,8.51,PL,1702329719
421,tuma,55.148,40.5537,265.29,93,100,6.68,RU,1702329720
422,touros,-5.1989,-35.4608,299.94,73,0,6.08,BR,1702329703
423,murray bridge,-35.1167,139.2667,293.77,81,82,3.0,AU,1702329720
424,renfrew,55.872,-4.3925,279.35,98,100,3.09,GB,1702329720
425,tabas,33.5959,56.9244,284.27,35,90,2.06,IR,1702329720
426,constitucion,-35.3333,-72.4167,290.06,68,70,7.66,CL,1702329720
427,chimbote,-9.0853,-78.5783,295.25,74,16,4.43,PE,1702329720
428,tutoia,-2.7619,-42.2744,300.61,77,87,5.54,BR,1702329667
429,savanna-la-mar,18.219,-78.1332,301.44,68,96,1.3,JM,1702329721
430,ambodifotatra,-16.9833,49.85,299.3,81,4,1.73,MG,1702329721
431,petropavlovsk-kamchatsky,53.0452,158.6483,262.85,87,40,7.6,RU,1702329648
432,progreso,21.2833,-89.6667,297.65,61,99,6.62,MX,1702329721
433,sunne,59.8376,13.143,272.38,92,99,3.1,SE,1702329432
434,narasannapeta,18.4167,84.05,293.4,72,2,2.14,IN,1702329721
435,menongue,-14.6585,17.691,293.69,72,100,3.85,AO,1702329721
436,taulaga,-11.0553,-171.0883,301.32,81,88,10.51,AS,1702329722
437,newman,37.3138,-121.0208,288.79,50,95,0.89,US,1702329722
438,lagos,6.5833,3.75,301.33,79,100,1.71,NG,1702329647
439,dolores,-36.3132,-57.6792,295.63,70,92,6.27,AR,1702329722
440,kasongo-lunda,-6.4667,16.8167,295.64,97,100,0.12,CD,1702329723
441,plettenberg bay,-34.0527,23.3716,288.95,85,0,2.95,ZA,1702329711
442,sabang,5.8933,95.3214,300.16,78,86,0.71,ID,1702329723
443,mulanje,-16.0316,35.5,299.8,60,57,3.48,MW,1702329723
444,yinchuan,38.4681,106.2731,272.42,32,0,1.2,CN,1702329530
445,tommot,58.9564,126.2925,244.26,93,100,3.88,RU,1702329724
446,molln,53.6333,10.6833,280.08,87,100,1.54,DE,1702329724
447,aki,33.5,133.9,286.12,94,96,1.01,JP,1702329724
448,tabou,4.423,-7.3528,299.58,82,10,2.56,CI,1702329725
449,kigali,-1.95,30.0588,294.86,78,40,1.54,RW,1702329725
450,bardai,11.65,7.2333,289.8,28,0,4.17,NG,1702329726
451,chernyshevsk,52.5243,117.0174,237.54,100,25,0.32,RU,1702329726
452,maquoketa,42.0689,-90.6657,278.34,55,4,3.31,US,1702329726
453,atar,20.5169,-13.0499,294.23,16,0,3.71,MR,1702329727
454,san agustin de valle fertil,-30.6335,-67.4682,304.9,30,0,10.24,AR,1702329727
455,neiafu,-18.65,-173.9833,301.53,57,20,4.63,TO,1702329727
456,strugi-krasnyye,58.2675,29.1114,269.11,95,100,3.64,RU,1702329727
457,yorkton,51.2167,-102.4677,268.06,63,100,15.95,CA,1702329557
458,deder,9.3167,41.45,286.34,42,8,0.44,ET,1702329728
459,tesistan,20.7833,-103.4833,289.72,61,91,2.85,MX,1702329728
460,znamenka,52.4167,41.4311,265.27,93,100,9.65,RU,1702329728
461,fada,9.5667,8.3,293.69,24,0,3.9,NG,1702329728
462,the pas,53.8251,-101.2541,265.16,62,100,11.32,CA,1702329729
463,djenne,13.9061,-4.5533,299.04,13,0,4.64,ML,1702329729
464,acarau,-2.8856,-40.12,300.43,75,30,7.65,BR,1702329729
465,kuruman,-27.4524,23.4325,292.76,41,7,4.82,ZA,1702329514
466,burang,30.25,81.1667,258.78,66,1,1.05,CN,1702329730
467,broome,42.2506,-75.833,274.61,88,100,4.63,US,1702329730
468,tateyama,34.9833,139.8667,285.43,89,100,9.98,JP,1702329730
469,puerto baquerizo moreno,-0.9,-89.6,300.7,74,75,4.63,EC,1702329730
470,dobryanka,58.4619,56.4165,241.49,94,88,2.23,RU,1702329730
471,ouesso,1.6136,16.0517,296.04,92,100,0.87,CG,1702329731
472,greenville,35.6127,-77.3663,281.55,65,100,2.06,US,1702329581
473,springbok,-29.6643,17.8865,288.84,38,0,2.32,ZA,1702329731
474,buulobarde,3.8538,45.5674,299.22,72,99,5.66,SO,1702329731
475,kresttsy,58.2452,32.5165,268.82,90,100,4.35,RU,1702329732
476,vera,-29.4593,-60.2126,303.23,38,0,4.57,AR,1702329732
477,qarqaraly,49.4058,75.4742,246.06,96,100,4.98,KZ,1702329440
478,banda aceh,5.5577,95.3222,298.78,85,82,1.27,ID,1702329664
479,talara,-4.5772,-81.2719,300.57,65,0,5.66,PE,1702329733
480,kanth,29.0667,78.6333,285.02,35,0,1.72,IN,1702329733
481,changling,44.2653,124.0005,253.07,90,11,2.4,CN,1702329733
482,torres,-29.3353,-49.7269,294.72,80,31,3.93,BR,1702329675
483,garachico,28.7781,-17.7646,292.86,52,0,1.54,ES,1702329733
484,nantucket,41.2835,-70.0995,280.38,70,0,5.14,US,1702329695
485,horta,38.5333,-28.6333,287.05,80,40,2.57,PT,1702329734
486,oppdal,62.5943,9.6912,264.09,86,79,4.09,NO,1702329734
487,marquette,46.5333,-87.6335,269.16,72,76,4.12,US,1702329735
488,nambour,-26.6333,152.95,299.18,77,75,0.89,AU,1702329735
489,tromso,69.6496,18.957,270.16,86,40,3.09,NO,1702329735
490,duba,27.3513,35.6901,295.38,77,98,0.83,SA,1702329736
491,piti village,13.4626,144.6933,300.64,85,20,3.6,GU,1702329736
492,natal,-5.795,-35.2094,300.51,74,20,4.63,BR,1702329736
493,kamaishi,39.2667,141.8833,279.63,92,100,3.95,JP,1702329736
494,cortez,37.3489,-108.5859,284.22,28,0,0.0,US,1702329737
495,sawakin,19.1059,37.3321,300.19,75,96,2.27,SD,1702329737
496,mahina,-17.5065,-149.489,302.02,70,20,2.57,PF,1702329737
497,isla vista,34.4133,-119.861,299.25,35,0,2.06,US,1702329737
498,omdurman,15.6445,32.4777,298.98,12,21,4.17,SD,1702329738
499,waingapu,-9.6567,120.2641,299.14,86,94,1.92,ID,1702329738
500,yuma,32.7253,-114.6244,295.31,12,75,3.6,US,1702329738
501,banjarmasin,-3.3244,114.591,299.23,94,100,1.06,ID,1702329739
502,canubing no 2,13.35,121.1333,298.54,90,98,2.54,PH,1702329739
503,tolanaro,-25.0319,46.9987,299.19,94,20,6.17,MG,1702329717
504,kavaratti,10.5669,72.642,301.38,75,92,2.77,IN,1702329739
505,vadso,70.0744,29.7487,263.24,85,20,5.66,NO,1702329740
506,sanctuary point,-35.1114,150.629,298.01,86,95,2.22,AU,1702329740
507,ardatov,55.2421,43.097,263.63,93,100,8.79,RU,1702329741
508,barentu,15.1139,37.5928,298.0,32,100,2.22,ER,1702329741
509,kudahuvadhoo,2.6708,72.8944,301.29,73,38,2.71,MV,1702329694
510,golfito,8.639,-83.166,302.36,80,100,2.15,CR,1702329742
511,pervomayskiy,53.2485,40.2871,266.07,93,100,9.22,RU,1702329742
512,tari,12.4086,4.4914,294.3,20,0,5.1,NG,1702329744
513,estes park,40.3772,-105.5217,279.17,55,92,1.79,US,1702329744
514,port hedland,-20.3167,118.5667,294.18,64,0,2.06,AU,1702329744
515,kongsberg,59.6652,9.6465,271.16,97,96,2.01,NO,1702329745
516,guaruja,-23.9931,-46.2564,295.87,26,100,1.03,BR,1702329745
517,novyy urengoy,66.0833,76.6333,247.95,87,100,5.11,RU,1702329745
518,strezhevoy,60.7333,77.5889,244.24,90,60,1.79,RU,1702329745
519,caraubas,-5.7925,-37.5567,302.25,55,97,7.33,BR,1702329746
520,as sulayyil,20.4607,45.5779,287.29,26,28,2.49,SA,1702329746
521,nadym,65.5333,72.5167,244.93,88,100,5.27,RU,1702329747
522,gorom-gorom,14.4439,-0.2361,296.6,17,0,4.88,BF,1702329747
523,igarka,67.4667,86.5833,249.29,99,100,3.62,RU,1702329715
524,saint-just-en-chaussee,49.505,2.4329,281.71,95,100,3.07,FR,1702329749
525,marat,25.0701,45.4615,290.7,24,11,4.2,SA,1702329749
526,illizi,26.4833,8.4667,286.04,36,0,2.83,DZ,1702329690
527,nova praha,48.5682,32.9027,275.19,100,100,3.61,UA,1702329750
528,port saint john's,-31.6229,29.5448,293.4,89,98,1.83,ZA,1702329750
529,bahia honda,22.9036,-83.1592,295.04,82,100,6.84,CU,1702329750
530,rehli,23.6333,79.0833,288.56,64,27,0.75,IN,1702329751
531,arraial do cabo,-22.9661,-42.0278,297.07,88,75,4.12,BR,1702329673
532,waspan,14.7419,-83.9717,299.55,91,57,2.91,NI,1702329739
533,brookings,44.3114,-96.7984,278.92,62,0,7.72,US,1702329544
534,yeed,4.55,43.0333,301.75,50,82,2.87,SO,1702329752
535,markovo,57.3206,107.0881,239.37,100,94,0.5,RU,1702329752
536,temiskaming shores,47.4938,-79.7153,265.04,63,91,2.98,CA,1702329753
537,lorengau,-2.0226,147.2712,300.98,85,97,5.06,PG,1702329706
538,sos'va,59.1766,61.8558,240.96,95,96,0.45,RU,1702329753
539,dauphin,51.1494,-100.0502,270.23,59,100,7.2,CA,1702329753
540,bundi,25.4417,75.6417,289.48,48,0,0.96,IN,1702329754
541,lianzhou,24.7811,112.3825,283.05,83,99,2.91,CN,1702329754
542,alice springs,-23.7,133.8833,285.9,71,0,0.51,AU,1702329754
543,emerald,-23.5333,148.1667,297.78,66,95,8.07,AU,1702329754
544,ad dilam,23.9915,47.1627,290.38,24,33,2.42,SA,1702329754
545,ambon,-3.6954,128.1814,299.23,89,40,2.06,ID,1702329739
546,kalamnuri,19.6667,77.3333,291.04,58,36,1.75,IN,1702329755
547,bazar-korgon,41.0376,72.7459,277.22,99,100,1.26,KG,1702329755
548,beyneu,45.3167,55.2,261.08,33,1,9.1,KZ,1702329755
549,'alaqahdari dishu,30.4374,63.313,286.74,31,21,2.53,AF,1702329755
550,vilhena,-12.7406,-60.1458,296.27,94,0,1.03,BR,1702329666
551,bairnsdale,-37.8333,147.6167,293.18,94,100,0.45,AU,1702329692
552,aldan,58.6031,125.3894,239.8,97,100,2.13,RU,1702329756
553,wetaskiwin,52.9668,-113.3687,270.38,71,100,1.92,CA,1702329756
554,yanchep,-31.55,115.6833,293.49,59,0,4.82,AU,1702329756
555,urucui,-7.2294,-44.5561,298.49,80,100,1.2,BR,1702329757
556,bengkulu,-3.8004,102.2655,296.78,94,99,1.52,ID,1702329748
557,cide,41.8921,33.0044,284.08,86,100,2.6,TR,1702329757
558,north battleford,52.7834,-108.2847,267.2,45,0,7.72,CA,1702329757
559,egilsstadir,65.2653,-14.3948,270.1,74,100,3.09,IS,1702329757
